Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Percentage Buy Reco’s,No. of analysts with buy reco,Percentage Upside
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services,89560.88053,3372.7,30.25245504,16.99652737,-10.35079405,9073.7,3683.5,723.05,0.798004796,-1.115813028,-0.23121305,0,28.57142857,6,1.550686394
Cipla Ltd,CIPLA,Pharmaceuticals,88870.33001,1121.15,35.31154465,8.555514074,6.05727117,22044.25,3493.27,976.52,0.391295138,0.042924792,0.388874614,0.000340541,71.05263158,27,9.754270169
Godrej Consumer Products Ltd,GODREJCP,FMCG - Personal Products,87295.1765,865.65,48.94901087,5.813673375,7.516024428,12421.66,2155.26,371.87,0.424752681,0.392499682,-0.02969294,-0.003330654,85.29411765,29,9.744122913
Bank of Baroda Ltd,BANKBARODA,Public Banks,86753.49561,167.85,11.05183716,10.86541581,-45.46586229,87780.19,10008.3,2158.61,2.057049252,0.697361657,-0.108701901,0,87.5,28,2.17456062
Larsen & Toubro Infotech Ltd,LTI,IT Services & Consulting,86611.95959,4912.15,37.7098396,19.26194544,21.85009358,16135.4,3097.4,800.6,0.024822297,-0.281989062,-0.347477842,-0.02316111,44.82758621,13,-3.199210122
Shree Cement Ltd,SHREECEM,Cement,84476.55756,23426.1,36.22587097,11.67424371,11.53775686,15555.45,2891.82,559.88,-0.107824816,0.513160093,-0.555390371,0,32.5,13,-6.941402965
Adani Wilmar Ltd,AWL,FMCG - Foods,81912.58258,622.75,101.915547,18.66298651,7.980764864,54385.89,1058.76,255.03,0.091125298,0.127808598,6.96E-05,0,20,1,-6.061822561
Bharat Electronics Ltd,BEL,Electronic Equipments,78463.77536,106.15,32.70864005,11.4396343,14.25910209,15599.72,3166.24,767.37,-2.137835612,1.365603315,-1.236662916,0,78.26086957,18,16.81582666
Varun Beverages Ltd,VBL,Soft Drinks,76818.86395,1183.3,110.6804368,18.84126579,41.33215914,9243.19,1006.61,312.55,-0.859477371,1.075998782,-0.874578296,0.001630206,80,12,4.369137159
SBI Cards and Payment Services Ltd,SBICARD,Payment Infrastructure,76798.20991,817.3,47.51952795,26.62966207,12.93171184,11301.52,2172.16,556.02,0.794297854,0.533456004,0.356039079,-0.221731474,83.33333333,20,32.14242016
Havells India Ltd,HAVELLS,Electrical Components & Equipments,76484.0134,1234.85,63.92472306,17.45946783,17.43878255,14098.92,1606.56,410.09,0.854912286,0.206399115,-0.499557854,0,46.15384615,18,7.098028101
Tata Consumer Products Ltd,TATACONSUM,Tea & Coffee,74679.24378,805.05,79.80427427,12.69702801,9.586381047,12565.43,1455.99,520.21,0.912167955,0.264950478,0.285497187,0.004926549,79.16666667,19,6.825663002
Bharat Petroleum Corporation Ltd,BPCL,Oil & Gas - Refining & Marketing,73876.56646,340.75,6.32423631,11.50961138,31.36397722,351730.5,16036.73,4355.23,0.198011597,-0.210433156,-3.035147619,0,62.5,20,7.410124725
Interglobe Aviation Ltd,INDIGO,Airlines,73704.57373,1911.35,-11.96147471,6.594973761,98.19233786,26656.53,-6153.67,8.16,1.443855119,1.339453395,0.952504754,-2.836921624,76.19047619,16,21.615612
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,73055.6249,4453.35,33.47336765,8.993654878,6.364282191,22099.9,3061.4,878.9,-0.485534661,10.46947863,-1.367142864,-0.004107221,82.05128205,32,11.96065883
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution,71727.78984,223.45,41.18830742,9.35403403,12.15254127,46099,2535.17,793.71,-0.190580028,0.194648484,0.472681597,0,40,8,5.168941598
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management,71136.32808,6395.3,17.53992625,38.79725952,NULL,4380.18,4225.9,170.22,0.031339653,0.247739513,-0.003890613,0,NULL,0,NULL
SRF Ltd,SRF,Diversified Chemicals,68897.09907,2320.95,36.47433405,20.71905659,20.21344838,12549.17,2585.55,696.63,4.661098479,0.006554794,0.020652113,-0.203062562,80,20,23.87169047
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,67855.55626,4719.2,64.2815046,15.4811262,11.124783,15034.9,1578.1,522.5,-0.35708817,0.604570764,1.179008272,0,100,23,9.658416681
ABB India Ltd,ABB,Heavy Electrical Equipments,65726.35716,3015.2,126.4673706,-3.814746886,19.26261545,7214.96,711.49,191.78,3.307719669,1.863235467,-0.569713679,0,45.83333333,11,6.792252587
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance,65439.90124,471.1,86.1958657,11.22433807,-37.79583441,64590.61,960.92,201.72,-0.049755607,0.498507334,-0.483531793,-0.054166825,77.41935484,24,37.97495224
United Spirits Ltd,MCDOWELL-N,Alcoholic Beverages,65386.87543,907.45,78.91247337,1.779235448,8.052603504,9748.4,1086.6,258,0.75607656,-0.692203277,0.990447639,0,56.52173913,13,4.137969034
Marico Ltd,MARICO,FMCG - Personal Products,62792.30745,502.4,51.25902649,12.10147367,-6.892082277,10647,1601,376,1.665507329,-0.160146209,0.154146794,-0.001415045,56.41025641,22,15.44585987
GAIL (India) Ltd,GAIL,Gas Distribution,60950.45328,94.15,4.973082993,13.97115055,38.10742463,95706.73,15463.52,3207.45,-1.367912311,-0.126229267,-1.666778231,0.011523987,70,21,16.83483802
Berger Paints India Ltd,BERGEPAINT,Paints,60132.22758,612.2,72.20315023,13.63126387,21.54723037,8830.23,1122.29,289.47,-0.399337211,0.102533255,0.43448286,0,26.08695652,6,3.070891865
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Consumer Finance,59150.54432,714.75,27.46703954,16.85016774,-33.58666942,10231.81,2907.6,754.09,-0.495452792,0.733795312,-0.729864302,-0.016381041,74.19354839,23,18.5729276
Canara Bank Ltd,CANBK,Public Banks,58772.63662,321.75,9.595783174,13.83544855,NULL,94256.89,9145.02,3020.18,1.552156631,0.465254961,0.306640496,0,76.92307692,10,-4.895104895
Punjab National Bank,PNB,Public Banks,58766.431,53.4,15.22154587,9.129022532,NULL,88571.12,4826.09,965.35,0.843980026,0.226284713,0.831229613,0,17.64705882,3,-25.09363296
UPL Ltd,UPL,Fertilizers & Agro Chemicals,58488.88563,774.85,16.13041523,22.68902632,14.01274311,46655,4966,1340,0.739033837,6.316639767,0.728854272,0,96.15384615,25,32.02555333
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services,58040.00832,723,87.45047888,4.474517983,70.193325,1975.43,889.51,225.82,0.250880625,-0.0617235,-0.006075125,0,16.66666667,1,-16.25172891
ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance,56869.12645,1175.7,44.74290448,17.48864284,9.838310955,16836.02,1683.52,412.5,0.644133916,-0.923454204,0.242012788,-0.006667739,70.83333333,17,24.39397806
IDBI Bank Ltd,IDBI,Public Banks,56795.13999,54.3,22.41606675,-6.173950634,NULL,23277.74,2557.08,23.4,-0.047172454,0.022014244,0.000520349,0,0,0,-22.6519337
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,55592.15861,2828.25,23.99440567,0.442193266,15.64079799,30106.29,3058.11,741.23,1.313289958,-1.051142545,1.24816814,-0.000623037,56.81818182,25,4.658357642
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals,55345.93619,1636.2,71.2137937,7.586282594,9.525997748,8704.6,1225.91,448.73,-0.499921642,0.570242282,-1.058179717,0,67.74193548,21,8.200097788
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure,54749.10896,203.3,8.590655876,28.49203621,0.117654575,28175.7,8430.7,2057.6,-0.047776294,-0.116091176,0.002206619,0.186705667,23.80952381,5,0.836202656
Union Bank of India Ltd,UNIONBANK,Public Banks,54272.15378,82.2,10.30749448,16.40790398,NULL,81754.07,8566.33,3301.02,0.147051739,0.301280627,0.145668835,0,33.33333333,2,-36.13138686
Zomato Ltd,ZOMATO,Online Services,53658.13592,63.55,-44.39326212,74.46520034,38.45593976,5010.3,-1220.5,-11.8,36.19096765,15.47901629,2.201055434,0,73.91304348,17,41.62077105
Tube Investments of India Ltd,TIINDIA,Cycles,52991.03301,2743.7,68.92425245,22.78645343,18.18747931,12654.09,1151.81,382.98,-0.620642376,0.399565768,-0.060944707,-0.008107856,60,3,5.478004155
